Date,Year,Month,Decimaldate,nzuprice
2010/03/31,2010,3,2010.1667,20.47
2010/04/30,2010,4,2010.25,19.6
2010/05/29,2010,5,2010.3333,17.17
2010/06/30,2010,6,2010.4167,18.11
2010/07/31,2010,7,2010.5,18.47
2010/08/31,2010,8,2010.5833,19.01
2010/09/30,2010,9,2010.6667,20.18
2010/10/31,2010,10,2010.75,20.19
2010/11/30,2010,11,2010.8333,20.9
2010/12/31,2010,12,2010.9167,20.32
2011/01/31,2011,1,2011,19.46
2011/02/28,2011,2,2011.0833,19.59
2011/03/31,2011,3,2011.1667,20.7
2011/04/30,2011,4,2011.25,20.42
2011/05/31,2011,5,2011.3333,20.14
2011/06/30,2011,6,2011.4167,19.11
2011/07/31,2011,7,2011.5,17.02
2011/08/31,2011,8,2011.5833,16.05
2011/09/30,2011,9,2011.6667,14.66
2011/10/31,2011,10,2011.75,13.86
2011/11/30,2011,11,2011.8333,12.82
2011/12/31,2011,12,2011.9167,8.82
2012/01/31,2012,1,2012,7.43
2012/02/28,2012,2,2012.0833,8.67
2012/03/31,2012,3,2012.1667,8.04
2012/04/30,2012,4,2012.25,7.41
2012/05/31,2012,5,2012.3333,6.55
2012/06/30,2012,6,2012.4167,7.2
2012/07/31,2012,7,2012.5,5.52
2012/08/31,2012,8,2012.5833,4.95
2012/09/30,2012,9,2012.6667,2.98
2012/10/31,2012,10,2012.75,3.05
2012/11/30,2012,11,2012.8333,3.18
2012/12/31,2012,12,2012.9167,3.01
2013/01/31,2013,1,2013,2.91
2013/02/28,2013,2,2013.0833,1.6
2013/03/31,2013,3,2013.1667,2
2013/04/30,2013,4,2013.25,2.03
2013/05/31,2013,5,2013.3333,1.95
2013/06/30,2013,6,2013.4167,1.8
2013/07/31,2013,7,2013.5,2.1
2013/08/31,2013,8,2013.5833,4.2
2013/09/30,2013,9,2013.6667,4.3
2013/10/31,2013,10,2013.75,3.6
2013/11/30,2013,11,2013.8333,3.6
2013/12/31,2013,12,2013.9167,3.2
2014/01/31,2014,1,2014,3.35
2014/02/28,2014,2,2014.0833,3.15
2014/03/31,2014,3,2014.1667,3.1
2014/04/30,2014,4,2014.25,3
2014/05/31,2014,5,2014.3333,5
2014/06/30,2014,6,2014.4167,4.15
2014/07/31,2014,7,2014.5,3.9
2014/08/31,2014,8,2014.5833,4.05
2014/09/30,2014,9,2014.6667,4.3
2014/10/31,2014,10,2014.75,4.2
2014/11/30,2014,11,2014.8333,4.3
2014/12/31,2014,12,2014.9167,5.5
2015/01/31,2015,1,2015,5.9
2015/02/28,2015,2,2015.0833,5.9
2015/03/31,2015,3,2015.1667,6.5
2015/04/30,2015,4,2015.25,6.05
2015/05/31,2015,5,2015.3333,5.25
2015/06/30,2015,6,2015.4167,6.8
2015/07/31,2015,7,2015.5,6.85
2015/08/31,2015,8,2015.5833,6.8
2015/09/30,2015,9,2015.6667,6.65
2015/10/31,2015,10,2015.75,7.1
2015/11/30,2015,11,2015.8333,8.3
2015/12/31,2015,12,2015.9167,9.4
2016/01/31,2016,1,2016,9.63
2016/02/29,2016,2,2016.0833,9.36
2016/03/31,2016,3,2016.1667,10.58
2016/03/30,2016,4,2016.25,12.96
2016/05/31,2016,5,2016.3333,14.89
